"","Factor 1","Factor 2","Factor 3","Factor 4"
"ARID1A",3.34483629558235e-05,4.18664203607477e-05,-3.81444770027883e-05,-3.9030837797327e-05
"WDR63",-5.99274790147319e-06,4.507543053478e-06,-2.17223896470387e-06,3.84896929972456e-06
"NBPF10",-1.13923561002593e-05,-1.79389462573454e-05,-6.2820754465065e-06,-3.13428108711378e-06
"CR2",-5.00698388350429e-06,-7.64154083299218e-06,9.50700996327214e-06,-5.63025196242961e-06
"TUBA3C",-8.22467791294912e-06,-3.08995622617658e-05,-1.32901996039436e-05,2.73310843112995e-06
"AHNAK2",-4.12336230510846e-05,-3.54092589986976e-05,-6.30017239018343e-05,1.61412626766833e-05
"ADAMTS7",3.9445197108634e-10,-6.433639732073e-10,7.74280140003469e-10,-1.62041102758081e-10
"KRT37",-1.45505134696577e-06,-9.5838886409183e-06,-8.47068713483168e-06,-8.55165671964642e-06
"DGKD",-1.1128045116493e-05,-7.42169675049809e-07,-6.19310867477907e-06,-7.4113713708357e-06
"COL6A3",-7.54366919863969e-05,-3.15594988933299e-05,-1.3840091014572e-05,-8.6144891611184e-06
"FRG1B",-2.01098737306893e-05,-2.66806891886517e-05,-1.22747778732446e-05,2.34056710723962e-06
"PRKG2",-1.95080665434944e-05,7.20773232387728e-06,-8.44998112370376e-07,-2.21275536205212e-06
"DOCK5",-2.51150777330622e-05,-3.14260687446222e-05,-1.52118245750898e-05,-3.7215085058051e-07
"ATP11C",-8.35960872791475e-06,1.14755066533689e-05,6.98795201969915e-06,-2.32778006648005e-06
"C3",1.66307854669867e-05,1.21558541650302e-05,3.42818657372845e-06,-6.7142691477784e-06
"TPO",-1.22426608868409e-05,-1.58618058776483e-05,-9.52124628383899e-06,-2.33409036809462e-06
"ENPEP",3.49188348991447e-06,-1.55300676851766e-05,5.68101677345112e-06,2.40041481447406e-06
"ADAM22",5.39394204679411e-06,-9.3566313807969e-06,8.54479640111094e-06,1.57261831645883e-06
"JHDM1D",-8.52862558531342e-06,-2.41547768382588e-05,7.67625078879064e-06,6.50531183055136e-06
"ACTRT1",-1.03792972367955e-05,-2.93205266643781e-05,2.24143605009886e-06,-2.82299106402206e-06
"ATRX",0.543774306774139,-0.00102086632978171,0.617192149162292,6.69952578391531e-06
"NPAP1",5.25739494605659e-07,-2.1451583961607e-05,-1.6539333955734e-05,-6.56965266898624e-06
"HELZ",-3.74306694084225e-07,-3.00250740110641e-05,-3.36701418746088e-06,3.89589604310459e-06
"TTN",-0.000229495548410341,-6.81963720126078e-05,-8.21283356344793e-06,-2.7391502953833e-05
"CNTN3",4.93465313411434e-06,-8.90256160346325e-06,-3.78160052605381e-06,-6.97754421707941e-06
"GABRA6",-2.33458849834278e-05,-1.49595362017862e-05,-3.68518658433459e-06,1.65352662406804e-06
"MUC17",-2.56084404099965e-05,-6.0304253565846e-05,5.51384164282354e-06,-5.64677691272664e-07
"COL14A1",-3.44671093444049e-06,-3.14495846396312e-05,4.91010223413468e-06,-2.70831196758081e-06
"ROS1",-8.75227397045819e-06,-4.99822408528416e-06,9.99847361526918e-06,5.57369185116841e-06
"CD163",8.2751017771443e-07,1.16427081593429e-05,-1.81494851858588e-06,-3.77298511011759e-06
"NLRP2",-2.86671451021903e-07,1.51354988702224e-05,4.08843419563709e-07,-3.20243952955934e-06
"HRNR",3.33133561980503e-06,2.07136451990664e-07,-2.84984162135515e-05,-5.03189676237525e-06
"TSHZ2",-3.80746450900915e-06,-2.20880542656232e-06,5.27229576618993e-06,-1.97815256797185e-06
"UGT2B28",8.2751017771443e-07,1.16427081593429e-05,-1.81494851858588e-06,-3.77298511011759e-06
"FRK",-1.76722846845223e-06,-2.10946680567758e-07,2.74571038971771e-06,-2.4653143100295e-06
"RERE",-8.13379301689565e-06,9.1971960500814e-06,8.23300160845974e-06,-2.05707306122349e-06
"PLCH1",-2.65447442870936e-06,-3.52946608472848e-06,9.6835092335823e-06,1.36339367600158e-05
"TRRAP",-4.20496689912397e-06,9.85839869827032e-06,-5.03683850183734e-06,-2.9676994017791e-06
"PLXNA3",-1.61243606271455e-05,-2.39794735534815e-05,-4.35365927842213e-06,9.42796032177284e-06
"COL1A2",-8.70079293235904e-06,-1.50799669427215e-05,-7.74377349443967e-06,1.12961752165575e-05
"CELSR1",5.00565192851354e-06,-1.02263775261235e-05,1.25303540698951e-05,-6.65013260459091e-07
"SLIT2",-2.94938058686967e-06,-1.00624420156237e-05,-1.14787667371274e-06,6.3276820583269e-07
"KCNT1",-3.02335615742777e-06,-1.8304734112462e-05,-3.03674369206419e-06,8.71399151947116e-06
"GAS2L2",5.57842167836498e-06,-2.15294530789834e-05,-5.01354122661724e-07,5.21293088695529e-07
"CFHR5",5.49478136235848e-06,-1.27260382214445e-05,-2.34852473113278e-06,7.04059539202717e-06
"ASPM",1.27978069031087e-06,-2.66215829469729e-05,8.05395120551111e-06,7.47993965433125e-07
"SEMA3C",-2.38360212279076e-06,-2.2479121980723e-05,-1.25923743325984e-05,-8.78887362887326e-07
"JPH1",3.22253731610544e-06,-8.87950864125742e-06,-6.25586790192756e-06,2.83568556369573e-06
"SMARCA4",4.83041112602223e-05,2.05941523745423e-05,-2.785094511637e-05,-1.32876430143369e-05
"ABCA4",7.23541973002284e-07,-2.70793111667444e-06,8.488856110489e-06,4.99818679600139e-06
"OR51G1",-5.22048594575608e-06,-1.86124671017751e-05,-6.94207346896292e-06,4.18879335484235e-06
"HTR3A",-9.95973550743656e-07,-2.14707415580051e-06,1.68319536442141e-06,5.05476009493577e-06
