"","Factor 1","Factor 2","Factor 3","Factor 4"
"TCGA-DU-6394",2.67654252052307,-1.20291018486023,-4.26196193695068,-3.17376112937927
"TCGA-FG-8187",0.765366554260254,1.1710364818573,1.08689093589783,-2.15025806427002
"TCGA-CS-4938",1.54443454742432,-1.184929728508,2.4103639125824,3.43546676635742
"TCGA-DU-7007",1.28211987018585,-3.29251623153687,1.35250318050385,-2.4186327457428
"TCGA-HT-7481",0.497074663639069,2.59285664558411,-0.578567266464233,-2.83717703819275
"TCGA-DU-6401",1.68277835845947,-1.69680380821228,0.478929162025452,2.99954700469971
"TCGA-HT-7606",1.93666589260101,-1.97757589817047,-1.97636342048645,2.13449192047119
"TCGA-DU-8158",-3.05710911750793,-0.145517557859421,1.14470767974854,3.68884539604187
"TCGA-HT-7470",0.720282435417175,2.46322727203369,1.23452091217041,-2.24129319190979
"TCGA-DH-5140",-2.56409025192261,0.79198694229126,-1.08305060863495,2.53128051757812
"TCGA-28-5208",-3.76507091522217,-2.63315272331238,-2.27680778503418,-2.95280718803406
"TCGA-HT-7882",-3.31039237976074,-2.76321578025818,1.0991667509079,-2.16110801696777
"TCGA-HW-A5KL",1.97663199901581,-1.06244122982025,0.783881962299347,3.43146109580994
"TCGA-HT-7604",2.23327684402466,-1.60894274711609,-0.430250495672226,-2.60965824127197
"TCGA-HW-7487",0.964907348155975,3.56468677520752,-1.19788205623627,-2.91854453086853
"TCGA-FG-6690",1.73408699035645,-0.770612597465515,1.13329422473907,-2.33883881568909
"TCGA-HT-8108",1.6104291677475,-0.662148237228394,1.79571604728699,3.36357450485229
"TCGA-19-5960",-2.83012580871582,-0.0734789222478867,-2.79096508026123,-3.3406400680542
"TCGA-E1-5318",2.33074927330017,-1.88596332073212,-4.11822843551636,2.2139720916748
"TCGA-IK-8125",1.30268228054047,1.95173585414886,-1.90267944335938,-2.7586989402771
"TCGA-HT-7880",-0.185327127575874,3.90940046310425,2.0222020149231,-1.39533400535583
"TCGA-HW-A5KK",-3.11253261566162,0.255803018808365,2.23292827606201,-1.90889525413513
"TCGA-CS-6665",0.268001675605774,-1.6831146478653,2.39177322387695,3.13005542755127
"TCGA-HT-7686",0.631599485874176,-1.47517657279968,3.22670698165894,3.78695869445801
"TCGA-26-5132",-3.11798763275146,-2.64960479736328,-2.8851330280304,-3.03426551818848
"TCGA-HW-8319",1.0995272397995,1.26800894737244,1.15636491775513,3.46800112724304
"TCGA-DB-5280",1.99475252628326,-0.9970623254776,0.733311116695404,-2.06146335601807
"TCGA-E1-5322",1.75551772117615,-1.39555883407593,0.851513803005219,2.291752576828
"TCGA-HT-7857",-2.9301130771637,-1.97473633289337,2.75160312652588,3.67480278015137
"TCGA-QH-A65Z",2.33908987045288,0.910176992416382,-2.02349328994751,-2.70837163925171
"TCGA-28-5215",-3.46039581298828,-1.27326416969299,-0.453510850667953,3.20785546302795
"TCGA-HT-7477",0.838882327079773,-1.40983808040619,-1.0098911523819,-2.21054553985596
"TCGA-HT-7608",1.13915193080902,0.635860562324524,0.504046499729156,-2.37335801124573
"TCGA-P5-A5EW",1.96653807163239,-1.25689196586609,1.99754178524017,3.41691184043884
"TCGA-FG-8185",2.3343448638916,-1.75120961666107,-0.474172472953796,-2.41473269462585
"TCGA-HT-7688",1.06273448467255,3.59825539588928,-0.596529901027679,-2.45002460479736
"TCGA-76-4925",-3.32434296607971,-2.96112060546875,-4.61067533493042,-3.38821053504944
"TCGA-DB-A64W",2.18218064308167,2.45749068260193,-4.8824291229248,2.33584880828857
"TCGA-E1-5311",1.63551998138428,2.04594159126282,-2.15702843666077,-2.6568341255188
"TCGA-DU-5855",1.3343106508255,-0.849910616874695,1.22481429576874,3.11829209327698
"TCGA-06-5414",-3.23471808433533,-3.92179727554321,-2.28289604187012,-2.88851118087769
"TCGA-HT-A616",1.25668454170227,2.90470623970032,0.581477463245392,3.45754742622375
"TCGA-HT-8114",1.51766550540924,-1.14209926128387,1.92276549339294,-2.11251544952393
"TCGA-HT-7610",0.948201417922974,3.44789338111877,0.64780580997467,3.07118320465088
"TCGA-E1-5303",1.10944378376007,-1.42894053459167,2.7937695980072,-1.68845236301422
"TCGA-HT-7482",1.17728209495544,-0.989005327224731,2.88199234008789,3.59981799125671
"TCGA-CS-6186",-3.28289937973022,-1.16384696960449,-1.49740266799927,-3.03634262084961
"TCGA-DU-6402",-3.5391321182251,-2.41518568992615,-0.827828526496887,-2.56481647491455
"TCGA-P5-A5EX",0.151133880019188,-1.99433588981628,1.46198511123657,3.33754444122314
"TCGA-FG-5964",0.441416531801224,1.41854774951935,0.0643327534198761,-2.58059430122375
"TCGA-DH-A66F",2.10498046875,-0.0805955305695534,-1.8780620098114,-2.73293590545654
"TCGA-HT-7684",1.32291913032532,-1.20123887062073,1.39938008785248,-2.11790084838867
"TCGA-FG-A60J",1.59060108661652,0.00693499715998769,1.2516793012619,3.24769926071167
"TCGA-26-5134",-3.52576899528503,-0.61278760433197,-1.30133092403412,-2.84639835357666
"TCGA-QH-A65V",0.979866862297058,0.982567429542542,0.367834538221359,3.53705620765686
"TCGA-DU-8163",0.942464172840118,-0.350753009319305,2.29441475868225,-1.92808711528778
"TCGA-06-6698",-3.70658135414124,-0.93833714723587,0.821757316589355,1.52173972129822
"TCGA-06-5415",-3.2927360534668,-0.535081148147583,-2.11701369285583,-2.918212890625
"TCGA-DH-A66B",1.9258873462677,-2.95971322059631,0.277497410774231,-1.91012072563171
"TCGA-06-5410",-3.81444907188416,-1.616534948349,3.36067819595337,3.60594987869263
"TCGA-DU-7302",1.68646895885468,2.85089325904846,-2.2385458946228,2.68435263633728
"TCGA-FG-8182",1.12475109100342,-0.321657508611679,1.68333566188812,-2.04874634742737
"TCGA-HW-A5KJ",1.63508772850037,0.825745224952698,-4.15323543548584,-3.14377379417419
"TCGA-HW-7490",1.62199771404266,-0.981810927391052,0.952090501785278,-2.52082252502441
"TCGA-HW-7491",2.18877220153809,0.1970194876194,-3.51151394844055,-3.42827343940735
"TCGA-E1-5302",0.408742547035217,-0.026806652545929,2.41119933128357,-1.72765469551086
"TCGA-28-5207",-3.63737893104553,0.372412323951721,0.00877594761550426,-2.64046812057495
"TCGA-CS-6666",2.00016045570374,-2.87193512916565,-0.210985109210014,-2.67410087585449
"TCGA-06-5859",-3.05833983421326,-2.41574811935425,-0.775103628635406,-2.9888904094696
"TCGA-28-5213",-3.84010720252991,-2.95674657821655,1.19482958316803,-2.28394174575806
"TCGA-HT-7620",0.2483229637146,1.13727271556854,0.42158830165863,-2.21485280990601
"TCGA-28-5218",-3.29926109313965,-3.529869556427,0.0120377782732248,-2.6160843372345
"TCGA-DH-5141",1.33283841609955,-0.00534966308623552,-1.27643156051636,-2.48551392555237
"TCGA-HT-7875",1.83541250228882,1.61553966999054,-1.81427824497223,-2.73102045059204
"TCGA-28-5209",-3.48742079734802,-3.30230069160461,-4.71633529663086,1.78950488567352
"TCGA-CS-4943",2.48265409469604,-1.81782877445221,-0.65149450302124,-2.24692940711975
"TCGA-E1-5319",0.962098181247711,0.67547869682312,-0.964136123657227,2.98143219947815
"TCGA-DH-5143",1.3168785572052,0.951703727245331,1.94079577922821,-1.98947107791901
"TCGA-HT-7855",2.68000721931458,-1.8301522731781,-0.622585833072662,-2.36929273605347
"TCGA-76-4931",-3.71836519241333,-0.722410500049591,-2.37349963188171,2.87398624420166
"TCGA-HT-7616",1.16900038719177,-1.31932747364044,-1.74164748191833,-2.66301465034485
"TCGA-CS-5395",-3.42417740821838,1.32677340507507,0.0118490271270275,-2.26917409896851
"TCGA-HT-A61B",1.40437757968903,-2.78941988945007,1.51452028751373,-1.96608972549438
"TCGA-DU-7018",2.07040739059448,0.411699116230011,-4.87344598770142,2.20996952056885
"TCGA-DB-5273",0.926886677742004,-1.92920970916748,2.0560131072998,-1.76975786685944
"TCGA-DB-A4XG",2.51368355751038,1.33918905258179,-3.53952717781067,-3.05109667778015
"TCGA-DU-5874",2.86127758026123,0.0475875101983547,-5.09888982772827,1.93503129482269
"TCGA-HT-A614",1.09518086910248,0.251744836568832,1.53379690647125,-2.10281610488892
"TCGA-HT-7473",0.887679994106293,-1.43604826927185,3.87159585952759,-1.87139499187469
